순위,마일리지,신청과목수,졸업신청,초수강여부,총이수학점/졸업이수학점,직전학기이수학점/학기당수강학점,학년,수강여부
1,36,6,Y,Y,0.9523,0.8333,4,O
2,36,6,Y,Y,0.9365,1.0000,4,O
3,36,6,Y,Y,0.9111,0.9473,4,O
4,36,6,Y,Y,0.8968,1.0000,4,O
5,36,6,N,Y,0.9444,0.8333,4,O
6,36,6,N,Y,0.7851,1.0000,4,O
7,36,6,N,Y,0.7142,0.6315,4,O
8,36,6,N,Y,0.6392,0.8684,3,O
9,36,6,N,Y,0.3892,0.8157,2,O
10,36,6,N,Y,0.3412,1.0000,2,O
11,36,6,N,Y,0.2888,1.0000,2,O
12,36,6,N,Y,0.2857,0.9444,2,O
13,36,6,N,Y,0.2814,1.0000,2,O
14,36,6,N,Y,0.2785,1.0000,2,O
15,36,6,N,Y,0.2714,0.9736,2,O
16,36,6,N,Y,0.2642,0.8947,2,O
17,36,6,N,Y,0.2500,0.8157,2,O
18,36,6,N,Y,0.2285,0.9736,2,O
19,36,6,N,Y,0.2148,0.5263,2,O
20,36,5,Y,Y,0.9126,0.6666,4,O
21,36,5,N,Y,0.9186,0.8333,4,O
22,36,5,N,Y,0.5792,0.9473,4,O
23,36,5,N,Y,0.5571,1.0000,3,O
24,36,4,Y,Y,0.9523,0.5555,4,O
25,36,3,Y,Y,1.0000,1.0000,4,O
26,36,3,Y,Y,0.9523,1.0000,4,O
27,36,3,N,N,0.5785,0.9736,3,O
28,35,6,Y,Y,1.0000,0.2105,4,O
29,35,5,N,Y,0.5571,1.0000,3,O
30,35,2,Y,Y,1.0000,0.8333,4,O
31,35,2,Y,Y,0.9523,1.0000,4,O
32,34,5,N,Y,0.2500,0.9375,2,O
33,32,6,N,Y,0.2857,1.0000,2,O
34,31,6,N,Y,0.5000,0.6428,3,O
35,31,6,N,Y,0.2928,1.0000,2,O
36,31,6,N,Y,0.2142,0.6842,2,O
37,31,6,N,Y,0.1392,0.5000,2,O
38,30,6,Y,Y,0.9214,1.0000,4,O
39,30,6,N,Y,0.5444,0.9736,3,O
40,30,6,N,Y,0.2592,0.9473,2,O
41,30,3,N,Y,0.8968,0.8333,4,O
42,29,6,N,Y,0.4481,1.0000,2,O
43,28,6,N,Y,0.5793,1.0000,3,O
44,28,6,N,Y,0.3015,1.0000,2,O
45,28,6,N,Y,0.2785,1.0000,2,O
46,27,6,N,Y,0.5333,0.9736,3,O
47,27,6,N,Y,0.3253,1.0000,2,O
48,26,6,N,Y,0.2341,0.6944,2,O
49,26,3,Y,Y,0.9404,0.8333,4,O
50,25,6,N,Y,0.5785,1.0000,3,O
51,25,6,N,Y,0.2857,1.0000,2,O
52,24,6,N,Y,0.5921,0.8750,2,O
53,23,6,N,Y,0.8015,1.0000,4,O
54,23,6,N,Y,0.5333,0.9736,3,O
55,23,6,N,Y,0.3253,1.0000,2,O
56,23,6,N,Y,0.3111,1.0000,2,O
57,23,6,N,Y,0.2928,1.0000,2,O
58,23,6,N,Y,0.2857,1.0000,2,O
59,22,6,N,Y,0.2888,1.0000,2,O
60,22,6,N,Y,0.1925,0.7368,2,O
61,21,6,N,Y,0.5821,0.9736,3,O
62,21,6,N,Y,0.2814,1.0000,2,O
63,21,6,N,Y,0.2642,0.8947,2,O
64,20,6,N,Y,0.8253,1.0000,4,O
65,20,6,N,Y,0.8000,0.9473,4,O
66,20,6,N,Y,0.5357,0.9736,3,O
67,20,6,N,Y,0.5000,0.8881,3,O
68,20,6,N,Y,0.4736,0.6250,2,O
69,20,6,N,Y,0.3412,1.0000,2,O
70,20,6,N,Y,0.2658,0.8611,2,O
71,20,6,N,N,0.6984,0.8888,3,O
72,20,6,N,N,0.2888,1.0000,2,O
73,20,4,Y,Y,0.9285,0.8333,4,O
74,20,4,Y,Y,0.9206,0.8333,4,O
75,20,4,N,Y,0.7896,0.8888,4,O
76,19,6,N,Y,0.3037,1.0000,2,O
77,19,6,N,Y,0.1547,0.6944,2,O
78,18,6,N,Y,0.7817,0.6666,4,O
79,18,6,N,Y,0.6428,0.6315,3,O
80,18,4,N,Y,0.2063,0.6111,2,O
81,17,6,N,Y,0.5285,0.8157,3,O
82,17,6,N,Y,0.5111,0.0789,3,O
83,17,6,N,Y,0.5000,0.8750,3,O
84,17,6,N,Y,0.4563,0.8333,3,O
85,17,6,N,Y,0.2962,1.0000,2,O
86,17,6,N,Y,0.2888,1.0000,2,O
87,17,6,N,Y,0.1865,0.5277,2,O
88,17,5,N,Y,0.6321,0.7894,3,O
89,17,5,N,Y,0.3015,1.0000,2,O
90,17,5,N,Y,0.2777,0.9722,2,O
91,17,4,N,Y,0.8333,0.6666,4,O
92,16,6,N,Y,0.3253,1.0000,2,O
93,16,6,N,Y,0.2857,1.0000,2,O
94,16,6,N,Y,0.2103,0.5000,2,O
95,15,6,N,Y,0.6428,0.8333,3,O
96,15,6,N,Y,0.4962,0.6578,3,O
97,15,6,N,Y,0.3370,0.5000,2,O
98,15,6,N,Y,0.2666,1.0000,2,O
99,15,6,N,Y,0.2619,0.7222,2,O
100,15,3,N,Y,0.8214,1.0000,4,O
101,14,6,N,Y,0.6928,1.0000,4,O
102,14,6,N,Y,0.5407,0.9736,3,O
103,14,6,N,Y,0.4321,0.9736,2,O
104,14,6,N,Y,0.3253,1.0000,2,O
105,14,6,N,Y,0.3095,1.0000,2,O
106,14,6,N,Y,0.2698,1.0000,2,O
107,14,6,N,Y,0.2666,1.0000,2,O
