순위,마일리지,신청과목수,졸업신청,초수강여부,총이수학점/졸업이수학점,직전학기이수학점/학기당수강학점,학년,수강여부
1,36,6,Y,Y,0.9206,0.8333,4,O
2,36,6,N,Y,0.5071,0.9473,4,O
3,36,6,N,Y,0.3555,0.6315,2,O
4,36,1,Y,Y,0.9841,0.8333,4,O
5,35,2,Y,Y,0.9555,0.9473,4,O
6,35,6,Y,Y,0.9333,1.0000,4,O
7,35,4,Y,N,1.0000,1.0000,4,O
8,35,4,N,N,0.9444,0.8611,4,O
9,35,3,Y,Y,0.9571,0.6315,4,O
10,34,6,N,N,1.0000,0.8333,4,O
11,34,4,N,Y,0.2500,0.8750,2,O
12,30,6,N,Y,0.3821,0.5000,2,O
13,29,6,N,Y,0.4285,0.9473,2,O
14,25,6,Y,Y,0.8888,1.0000,4,O
15,19,6,N,Y,0.5079,0.9166,3,O
16,18,4,N,Y,0.9047,0.6666,4,O
17,14,6,N,Y,0.6706,0.8333,3,O
18,14,4,N,Y,0.2428,0.7368,2,O
19,11,5,Y,Y,0.9037,1.0000,4,O
20,10,6,Y,Y,0.9841,0.1666,4,O
21,8,6,Y,Y,0.9703,0.8333,4,O
22,8,6,N,Y,0.8071,1.0000,4,O
23,7,6,N,N,0.4166,1.0000,2,O
24,6,6,N,Y,0.5000,0.7500,3,O
25,4,6,N,Y,0.6074,0.8157,3,O
26,3,6,Y,Y,0.9185,1.0000,4,O
27,3,6,Y,Y,0.8892,0.9473,4,O
28,3,6,Y,Y,0.7936,1.0000,4,O
29,2,6,N,Y,0.8412,0.8333,4,O
30,1,6,Y,Y,0.9178,1.0000,4,O
31,1,6,Y,Y,0.8888,1.0000,4,O
32,1,6,Y,Y,0.8740,0.9473,4,O
33,1,6,N,Y,1.0000,0.7222,4,O
34,1,6,N,Y,0.9703,0.8333,4,O
35,1,6,N,Y,0.9523,0.8333,4,O
36,1,6,N,Y,0.7619,1.0000,4,O
37,1,6,N,Y,0.5515,0.8888,3,O
38,1,6,N,Y,0.4801,1.0000,2,O
39,1,6,N,Y,0.4404,0.9722,2,O
40,1,6,N,Y,0.4285,1.0000,2,O
41,1,6,N,Y,0.4259,0.9736,2,O
42,1,6,N,Y,0.1428,0.3947,2,O
