순위,마일리지,신청과목수,졸업신청,초수강여부,총이수학점/졸업이수학점,직전학기이수학점/학기당수강학점,학년,수강여부
1,36,6,Y,Y,1.0000,0.3157,4,O
2,36,6,Y,Y,0.9851,0.7894,4,O
3,36,6,Y,Y,0.9785,0.7368,4,O
4,36,6,Y,Y,0.9761,1.0000,4,O
5,36,6,Y,Y,0.9603,1.0000,4,O
6,36,6,Y,Y,0.9523,1.0000,4,O
7,36,6,Y,Y,0.9333,0.6842,4,O
8,36,6,Y,Y,0.9285,1.0000,4,O
9,36,6,Y,Y,0.9142,0.9473,4,O
10,36,6,Y,Y,0.9047,0.5000,4,O
11,36,6,Y,Y,0.8730,0.8333,4,O
12,36,6,Y,Y,0.8650,1.0000,4,O
13,36,6,Y,Y,0.8518,0.7894,4,O
14,36,6,N,Y,0.9047,0.8333,4,O
15,36,6,N,Y,0.8730,0.8888,4,O
16,36,6,N,Y,0.8730,0.8333,4,O
17,36,6,N,Y,0.8730,0.6666,4,O
18,36,6,N,Y,0.8214,1.0000,4,O
19,36,6,N,Y,0.8142,0.7894,4,O
20,36,6,N,Y,0.7571,0.9473,4,O
21,36,6,N,Y,0.6740,0.9473,4,O
22,36,6,N,Y,0.6587,0.8611,4,O
23,36,6,N,Y,0.6571,0.9473,3,O
24,36,6,N,Y,0.6357,1.0000,3,O
25,36,6,N,Y,0.6190,0.7142,3,O
26,36,6,N,Y,0.4964,0.9473,3,O
27,36,6,N,Y,0.4404,0.8684,2,O
28,36,6,N,Y,0.4087,0.8611,2,O
29,36,6,N,Y,0.4035,0.8157,2,O
30,36,6,N,Y,0.3968,0.7894,2,O
31,36,6,N,Y,0.3888,0.8333,2,O
32,36,6,N,Y,0.3821,0.8157,2,O
33,36,6,N,Y,0.3750,0.9473,2,O
34,36,6,N,Y,0.3740,0.8157,2,O
35,36,6,N,Y,0.3571,0.7894,2,O
36,36,6,N,Y,0.3500,0.9736,2,O
37,36,6,N,Y,0.3500,0.9736,2,O
38,36,6,N,Y,0.2148,0.9736,2,O
39,36,5,Y,Y,0.9071,0.9473,4,O
40,36,5,Y,Y,0.9037,0.8421,4,O
41,36,5,N,Y,0.8223,0.7708,2,O
42,36,5,N,Y,0.6888,0.7894,3,O
43,36,5,N,Y,0.6037,0.8157,3,O
44,36,5,N,Y,0.3524,0.9736,3,O
45,36,5,N,N,0.8296,0.3157,4,O
46,36,3,Y,Y,1.0000,0.7894,4,O
47,36,3,Y,Y,0.9761,0.9444,4,O
48,36,3,Y,Y,0.9703,0.9473,4,O
49,36,3,Y,Y,0.9365,0.9444,4,O
50,36,3,Y,Y,0.9285,1.0000,4,O
51,36,2,Y,Y,1.0000,0.1578,4,O
52,36,2,Y,Y,0.9682,0.8888,4,O
53,36,2,Y,Y,0.9523,1.0000,4,O
54,36,1,Y,Y,1.0000,0.6315,4,O
55,36,1,Y,Y,1.0000,0.3888,4,O
56,36,1,Y,Y,1.0000,0.1578,4,O
57,35,6,Y,Y,1.0000,0.8947,4,O
58,35,6,Y,Y,1.0000,0.4736,4,O
59,35,6,Y,Y,0.9925,0.9473,4,O
60,35,6,Y,Y,0.9037,0.8421,4,O
61,35,6,Y,N,0.9925,0.1666,4,O
62,35,6,N,Y,0.7142,1.0000,4,O
63,35,6,N,Y,0.3888,0.9210,2,O
64,35,4,Y,Y,0.9142,1.0000,4,O
65,35,2,Y,Y,1.0000,0.7894,4,O
66,35,2,Y,Y,0.9761,0.1666,4,O
67,34,6,N,Y,0.8357,0.6315,4,O
68,34,6,N,Y,0.6349,0.8055,3,O
69,34,6,N,Y,0.4722,1.0000,2,O
70,34,2,Y,Y,1.0000,0.8333,4,O
71,33,6,N,Y,0.9523,0.6666,4,O
72,33,6,N,Y,0.7936,0.8333,4,O
73,32,6,Y,Y,0.9444,1.0000,4,O
74,32,6,N,Y,0.7027,0.6315,4,O
75,32,6,N,Y,0.4962,1.0000,3,O
76,31,6,Y,Y,0.9285,0.8333,4,O
77,31,6,Y,Y,0.9071,0.6315,4,O
78,31,6,N,Y,0.3222,0.8157,2,O
79,31,5,N,N,0.4166,0.7500,2,O
80,30,6,Y,Y,0.9481,0.7894,4,O
81,30,6,Y,Y,0.8857,0.9473,4,O
82,30,6,Y,Y,0.8370,0.6315,4,O
83,30,6,Y,Y,0.8222,1.0000,4,O
84,30,6,N,Y,0.8015,0.8333,4,O
85,30,6,N,Y,0.6629,0.8333,3,O
86,30,6,N,Y,0.4107,0.9736,2,O
87,30,6,N,Y,0.4007,0.8611,2,O
88,30,6,N,Y,0.3849,0.9166,2,O
