순위,마일리지,신청과목수,졸업신청,초수강여부,총이수학점/졸업이수학점,직전학기이수학점/학기당수강학점,학년,수강여부
1,36,4,N,Y,0.1703,0.4736,2,O
2,30,6,N,N,0.5476,0.8611,3,O
3,24,6,Y,Y,0.9851,0.3157,4,O
4,16,6,N,Y,0.2936,1.0000,2,O
5,15,6,N,Y,0.1888,0.6842,2,O
6,15,4,Y,Y,0.9407,0.6315,4,O
7,13,6,N,Y,0.2592,0.7368,2,O
8,12,6,N,Y,0.5392,0.9736,3,O
9,11,6,N,Y,0.7142,0.7894,4,O
10,10,6,Y,Y,0.8370,0.6842,4,O
11,9,6,N,Y,0.3015,1.0000,2,O
12,6,6,Y,Y,0.8650,0.6944,4,O
13,5,6,N,Y,0.7962,0.8333,4,O
14,4,5,Y,Y,0.9185,0.7894,4,O
15,2,6,N,Y,0.4342,0.6250,2,O
16,2,6,N,Y,0.2785,1.0000,2,O
17,2,6,N,Y,0.2714,0.9473,2,O
18,2,6,N,Y,0.2579,0.8611,2,O
19,1,6,Y,Y,1.0000,1.0000,4,O
20,1,6,Y,Y,0.9785,0.7894,4,O
21,1,6,Y,Y,0.9714,1.0000,4,O
22,1,6,Y,Y,0.9682,1.0000,4,O
23,1,6,N,Y,0.8296,0.9473,4,O
24,1,6,N,Y,0.7936,1.0000,4,O
25,1,6,N,Y,0.7555,0.9736,4,O
26,1,6,N,Y,0.5714,1.0000,3,O
27,1,6,N,Y,0.5428,0.9736,3,O
28,1,6,N,Y,0.5000,0.9210,3,O
29,1,6,N,Y,0.3444,0.7894,2,O
30,1,6,N,Y,0.3174,1.0000,2,O
31,1,6,N,Y,0.3095,1.0000,2,O
32,1,6,N,Y,0.3071,1.0000,2,O
33,1,6,N,Y,0.3055,1.0000,2,O
34,1,6,N,Y,0.2962,1.0000,2,O
35,1,6,N,Y,0.2888,1.0000,2,O
36,1,6,N,Y,0.2857,1.0000,2,O
37,1,6,N,Y,0.2851,0.9736,2,O
38,1,6,N,Y,0.2714,0.9473,2,O
39,1,6,N,Y,0.2539,0.8333,2,O
40,1,6,N,Y,0.2321,0.6578,2,O
41,1,6,N,N,0.1746,0.8611,2,O
