순위,마일리지,신청과목수,졸업신청,초수강여부,총이수학점/졸업이수학점,직전학기이수학점/학기당수강학점,학년,수강여부
1,36,6,N,Y,0.9037,0.3611,4,O
2,36,5,N,Y,0.3048,0.9736,2,O
3,36,4,Y,Y,0.9126,0.9444,4,O
4,36,2,Y,Y,0.9682,1.0000,4,O
5,35,5,N,Y,0.6825,1.0000,4,O
6,35,5,N,Y,0.5777,1.0000,3,O
7,35,2,Y,Y,0.9642,1.0000,4,O
8,34,6,N,Y,0.4107,0.9736,2,O
9,32,5,N,Y,0.7579,1.0000,4,O
10,31,3,Y,Y,0.9535,0.9473,4,O
11,30,6,Y,Y,0.9166,0.7857,4,O
12,28,6,N,Y,0.3444,0.9736,2,O
13,28,6,N,N,0.4722,1.0000,2,O
14,26,6,N,Y,0.1507,1.0000,2,O
15,24,6,N,Y,0.3964,1.0000,2,O
16,20,6,Y,Y,0.9682,1.0000,4,O
17,20,6,N,Y,0.2698,0.8888,2,O
18,19,6,N,Y,0.6714,0.9473,3,O
19,19,6,N,Y,0.3678,0.8684,2,O
20,17,6,N,Y,0.7851,0.9473,4,O
21,17,4,N,Y,0.7103,0.1944,4,O
22,16,6,Y,Y,0.8571,1.0000,4,O
23,16,6,N,Y,0.6666,0.8611,3,O
24,16,6,N,Y,0.4321,0.8157,2,O
25,16,4,Y,Y,0.9185,0.9473,4,O
26,10,6,Y,Y,1.0000,0.7777,4,O
27,10,6,Y,Y,0.9761,0.6666,4,O
28,10,6,N,Y,0.9523,1.0000,4,O
29,10,6,N,Y,0.4250,0.9736,2,O
30,10,6,N,Y,0.3814,0.9736,2,O
31,10,6,N,Y,0.2936,1.0000,2,O
32,10,6,N,N,0.5555,0.8611,3,O
33,10,6,N,N,0.5198,0.6944,3,O
34,10,5,Y,Y,0.9047,1.0000,4,O
35,10,5,N,Y,0.7500,1.0000,4,O
36,9,6,N,Y,0.7619,1.0000,3,O
37,9,5,Y,Y,0.8888,0.9736,4,O
38,7,6,Y,Y,0.8962,1.0000,4,O
39,7,6,Y,Y,0.8642,0.8421,4,O
